Date,High,Low,Open,Close,Volume,Adj Close,Month,Quarter,Year
2005-02-10,96.20120239,92.71772003,96.08107758,94.08408356,37927435,94.08408356,2,Quarter 1,2005
2005-02-11,96.2562561,93.12812805,93.42342377,93.79379272,26205768,93.79379272,2,Quarter 1,2005
2005-02-14,96.63663483,90.59059143,91.51651764,96.59159088,77047276,96.59159088,2,Quarter 1,2005
2005-02-15,100.0200195,96.63663483,96.89689636,97.71271515,51514034,97.71271515,2,Quarter 1,2005
2005-02-16,99.76476288,97.24724579,97.44744873,99.30430603,33031535,99.30430603,2,Quarter 1,2005
2005-02-17,99.97497559,98.50350189,99.0140152,99.04904938,20807971,99.04904938,2,Quarter 1,2005
2005-02-18,99.51952362,98.42842865,99.35435486,99.07407379,16954828,99.07407379,2,Quarter 1,2005
2005-02-22,99.54955292,95.29029083,98.34835052,95.78078461,26940433,95.78078461,2,Quarter 1,2005
2005-02-23,97.33733368,94.42442322,96.74674988,97.07207489,31140828,97.07207489,2,Quarter 1,2005
2005-02-24,95.02001953,91.20620728,91.77677917,94.53954315,51576971,94.53954315,2,Quarter 1,2005
2005-02-25,95.05505371,92.84784698,94.6696701,93.0280304,19927053,93.0280304,2,Quarter 1,2005
2005-02-28,95.0300293,93.01802063,93.09309387,94.08908844,15621163,94.08908844,2,Quarter 1,2005
2005-03-01,94.9699707,91.09108734,94.73973846,93.12312317,18603778,93.12312317,3,Quarter 1,2005
2005-03-02,93.92893219,92.2722702,93.06806946,92.68268585,14556429,92.68268585,3,Quarter 1,2005
2005-03-03,93.96897125,92.24724579,93.15815735,93.59860229,15201983,93.59860229,3,Quarter 1,2005
2005-03-04,93.71871948,92.62762451,93.4434433,93.04304504,13534652,93.04304504,3,Quarter 1,2005
2005-03-07,94.89489746,93.60861206,93.9839859,94.49949646,17317465,94.49949646,3,Quarter 1,2005
2005-03-08,95.02001953,92.57757568,94.64464569,92.69269562,16076108,92.69269562,3,Quarter 1,2005
2005-03-09,92.41741943,90.17017365,92.19719696,90.76576233,22698079,90.76576233,3,Quarter 1,2005
2005-03-10,90.69068909,88.78878784,90.59559631,90.08007813,21899079,90.08007813,3,Quarter 1,2005
